ID,导出时间,时间戳,事件类型,参数1,参数2,参数3,参数4,系统状态,系统常规故障总故障,总故障位,保留故障位,总电压,总电流,簇显示SOC,簇SOH,簇SOE,充电效率,单次充电电量,单次放电电量,累计充电电量,累计放电电量,簇真实SOC,充电SOP,放电SOP,单次充电容量,单次放电容量,累计充电容量,累计放电容量,充电最大允许功率,放电最大允许功率,电压越限次数,温度越限次数,故障保护次数,绝缘电阻+,绝缘电阻-,最高单体电压数据,最高单体电压编号,最低单体电压数据,最低单体电压编号,最高单体温度数据,最高单体温度编号,最低单体温度数据,最低单体温度编号,最高单体soc数据,最高单体soc编号,最低单体soc数据,最低单体soc编号,最高单体soh数据,最高单体soh编号,最低单体soh数据,最低单体soh编号,最高电池包电压数据,最高电池包电压编号,最低电池包电压数据,最低电池包电压编号,事件记录模式,内测模式,运维模式,PCS设备类型,制冷设备类型,除湿机设备类型,本机地址,本机IP,本机MAC地址,事件记录版本号,BOOT版本号,软件版本号,硬件版本号,常规故障一级点表,其他故障1,其他故障2,接触器状态,系统DI输入状态,系统高边驱动状态,预留,预留,预留,预留,预留,预留,预留,预留,预留,预留,CRC16,CRC校验结果
"1","2025-4-28 14:38:39","2025-4-27 22:31:24","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","26681","通过"
"2","2025-4-28 14:38:39","2025-4-27 22:32:08","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","44337","通过"
"3","2025-4-28 14:38:39","2025-4-27 22:32:08","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","34472","通过"
"4","2025-4-28 14:38:39","2025-4-27 22:32:08","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","44337","通过"
"5","2025-4-28 14:38:40","2025-4-27 22:32:08","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","34472","通过"
"6","2025-4-28 14:38:40","2025-4-27 22:32:08","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","44337","通过"
"7","2025-4-28 14:38:40","2025-4-27 22:32:08","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","34472","通过"
"8","2025-4-28 14:38:40","2025-4-27 22:32:19","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","50280","通过"
"9","2025-4-28 14:38:40","2025-4-27 22:32:19","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","61425","通过"
"10","2025-4-28 14:38:40","2025-4-27 22:32:28","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","26402","通过"
"11","2025-4-28 14:38:40","2025-4-27 22:32:28","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","19643","通过"
"12","2025-4-28 14:38:40","2025-4-27 22:33:10","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","59264","通过"
"13","2025-4-28 14:38:40","2025-4-27 22:33:10","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","52249","通过"
"14","2025-4-28 14:38:40","2025-4-27 22:33:17","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","25138","通过"
"15","2025-4-28 14:38:40","2025-4-27 22:33:17","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","18859","通过"
"16","2025-4-28 14:38:40","2025-4-27 22:33:23","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","23659","通过"
"17","2025-4-28 14:38:40","2025-4-27 22:33:23","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","30706","通过"
"18","2025-4-28 14:38:40","2025-4-27 22:33:29","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","9806","通过"
"19","2025-4-28 14:38:40","2025-4-27 22:33:29","总故障位触发","故障:存在常规严重故障位, 存在硬件故障总故障位, 存在保留故障总故障位","/:/","/:/","/:/","开路","严重","存在常规严重故障位; 存在硬件故障总故障位; 存在保留故障总故障位","保留绝缘电阻严重告警","0.0V","0.0A","30.0%","23.2%","30.0%","100.00%","0kWh","0kWh","0kWh","0kWh","125.0%","0.0%","100.0%","0Ah","0Ah","0Ah","0Ah","0.0kW","0.0kW","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","简约模式","内测模式1（V、T）","非运维模式","无PCS","无制冷设备","无除湿机设备","232","192.168.10.208","84-39-141-160-51-201","EVE.0.5-240123","CHS-BOOT-V1.1 ","NB.HS01-250424","HV1.1.0-220830","存在单电池欠压故障","-","RT4过温故障严重报警; RT5过温故障严重报警","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:断开; DI2:断开; DI3:断开; DI4:断开; DI5:断开; DI6:断开; DI7:断开; DI8:断开; DI9:断开; DI10:断开; DI11:断开","DO1:断开; DO2:断开; DO3:断开; DO4:断开; DO5:断开; DO6:断开; DO7:断开; DO8:断开; 地址自适应反馈:断开","0","0","0","0","0","0","0","0","0","0","3543","通过"
